family,script,language,script_table,hindawi,dialect_standard,idiolect_profile,constructs_translated,decorators_translated,reviewer,status,ilm_version
Indo-Aryan,modi,marathi_modi,yes,template,,,,,,OPEN,0.1.0
Indo-Aryan,tirhuta,maithili_tirhuta,yes,template,,,,,,OPEN,0.1.0
Indo-Aryan,takri,dogri_takri,yes,template,,,,,,OPEN,0.1.0
Indo-Aryan,kaithi,bhojpuri_kaithi,yes,template,,,,,,OPEN,0.1.0
Indo-Aryan,multani,saraiki,yes,template,,,,,,OPEN,0.1.0
Indo-Aryan,newa,nepal_bhasa,yes,template,,,,,,OPEN,0.1.0
Dravidian,tamil,tamil,yes,generated,,,,,,OPEN,0.1.0
Dravidian,telugu,telugu,yes,generated,,,,,,OPEN,0.1.0
Dravidian,kannada,kannada,yes,generated,,,,,,OPEN,0.1.0
Dravidian,malayalam,malayalam,yes,generated,,,,,,OPEN,0.1.0
Dravidian,grantha,sanskrit_grantha,yes,template,,,,,,OPEN,0.1.0
Austroasiatic,ol_chiki,santali,yes,template,,,,,,OPEN,0.1.0
Sino-Tibetan,meetei_mayek,manipuri,yes,template,,,,,,OPEN,0.1.0
Sino-Tibetan,tibetan,tibetan,yes,template,,,,,,OPEN,0.1.0
Sino-Tibetan,tibetan,dzongkha,yes,template,,,,,,OPEN,0.1.0
Sino-Tibetan,myanmar,burmese,yes,template,,,,,,OPEN,0.1.0
Sino-Tibetan,myanmar,shan,yes,template,,,,,,OPEN,0.1.0
Sino-Tibetan,myanmar,mon,yes,template,,,,,,OPEN,0.1.0
Tai-Kadai,thai,thai,yes,template,,,,,,OPEN,0.1.0
Tai-Kadai,lao,lao,yes,template,,,,,,OPEN,0.1.0
Tai-Kadai,tai_tham,northern_thai,yes,template,,,,,,OPEN,0.1.0
Austronesian,javanese,javanese,yes,template,,,,,,OPEN,0.1.0
Austronesian,balinese,balinese,yes,template,,,,,,OPEN,0.1.0
Austronesian,buginese,buginese,yes,template,,,,,,OPEN,0.1.0
Austronesian,tagalog,tagalog,yes,template,,,,,,OPEN,0.1.0
Austroasiatic,khmer,khmer,yes,template,,,,,,OPEN,0.1.0
Indo-Iranian,perso_arabic,urdu,no,generated,,,,,,OPEN,0.1.0
Indo-Iranian,perso_arabic,shahmukhi,no,generated,,,,,,OPEN,0.1.0
Indo-Iranian,perso_arabic,sindhi_perso,no,template,,,,,,OPEN,0.1.0
Indo-Iranian,perso_arabic,kashmiri_perso,no,template,,,,,,OPEN,0.1.0
Indo-Iranian,perso_arabic,persian,no,generated,,,,,,OPEN,0.1.0
Indo-Iranian,perso_arabic,dari,no,generated,,,,,,OPEN,0.1.0
Indo-Iranian,perso_arabic,pashto,no,generated,,,,,,OPEN,0.1.0
Indo-Iranian,perso_arabic,saraiki_perso,no,template,,,,,,OPEN,0.1.0
Semitic,perso_arabic,arabic,no,generated,,,,,,OPEN,0.1.0
Semitic,hebrew,hebrew,no,generated,,,,,,OPEN,0.1.0
Semitic,syriac,syriac,no,generated,,,,,,OPEN,0.1.0
Semitic,syriac,aramaic,no,generated,,,,,,OPEN,0.1.0
Semitic,phoenician,phoenician,no,generated,,,,,,OPEN,0.1.0
Semitic,ethiopic,amharic,no,template,,,,,,OPEN,0.1.0
Semitic,ethiopic,tigrinya,no,template,,,,,,OPEN,0.1.0
Semitic,ethiopic,geez,no,template,,,,,,OPEN,0.1.0
Indo-European,latin,english,no,template,,,,,,OPEN,0.1.0
Indo-European,latin,french,no,template,,,,,,OPEN,0.1.0
Indo-European,latin,german,no,template,,,,,,OPEN,0.1.0
Indo-European,latin,spanish,no,template,,,,,,OPEN,0.1.0
Indo-European,latin,italian,no,template,,,,,,OPEN,0.1.0
Indo-European,latin,portuguese,no,template,,,,,,OPEN,0.1.0
Indo-European,cyrillic,russian,no,template,,,,,,OPEN,0.1.0
Indo-European,cyrillic,ukrainian,no,template,,,,,,OPEN,0.1.0
Indo-European,cyrillic,serbian,no,template,,,,,,OPEN,0.1.0
Indo-European,cyrillic,bulgarian,no,template,,,,,,OPEN,0.1.0
Indo-European,greek,greek,no,template,,,,,,OPEN,0.1.0
Indo-European,armenian,armenian,no,template,,,,,,OPEN,0.1.0
Kartvelian,georgian,georgian,no,template,,,,,,OPEN,0.1.0
Koreanic,hangul,korean,no,template,,,,,,OPEN,0.1.0
Japonic,japanese,japanese,no,template,,,,,,OPEN,0.1.0
Sino-Tibetan,han,chinese_simplified,no,template,,,,,,OPEN,0.1.0
Sino-Tibetan,han,chinese_traditional,no,template,,,,,,OPEN,0.1.0
Niger-Congo,latin,swahili,no,template,,,,,,OPEN,0.1.0
Niger-Congo,latin,yoruba,no,template,,,,,,OPEN,0.1.0
Niger-Congo,latin,igbo,no,template,,,,,,OPEN,0.1.0
Niger-Congo,latin,hausa,no,template,,,,,,OPEN,0.1.0
Ancient,brahmi,prakrit_brahmi,yes,template,,,,,,OPEN,0.1.0
Ancient,kharoshthi,gandhari,yes,template,,,,,,OPEN,0.1.0
Ancient,siddham,sanskrit_siddham,yes,template,,,,,,OPEN,0.1.0
Ancient,sharada,sanskrit_sharada,yes,template,,,,,,OPEN,0.1.0
