# dari → cpp  |  script: Perso-Arabic  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/shraeni/h2cpp.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	cpp
	orictxt514	fdopen
	orictxt515	feclearexcepts
	orictxt516	fegetenv
	orictxt517	fegetexcept
	orictxt518	fegetprec
	orictxt519	fegetround
	orictxt520	fenv_t
	orictxt522	feprocentry
	orictxt523	feprocexit
	orictxt524	feraiseexcept
	orictxt526	fesetenv
	orictxt527	fesetexcept
	orictxt528	fesetprec
	orictxt529	fesetround
	orictxt530	fetestexcept
	orictxt531	fexcept_t
	orictxt536	fileno
	orictxt543	fpathconf
	orictxt544	fpclassify
	orictxt553	frexp
	orictxt559	fsync
	orictxt565	getcbrk
	orictxt568	getcwd
	orictxt569	getegid
	orictxt571	geteuid
	orictxt572	getgid
	orictxt573	getgrgid
	orictxt574	getgrnam
	orictxt575	getgroups
	orictxt576	gethostname
	orictxt577	getkey
	orictxt578	getlogin
	orictxt579	getpgrp
	orictxt580	getpid
	orictxt581	getppid
	orictxt582	getpwnam
	orictxt583	getpwuid
	orictxt585	getuid
	orictxt586	gid_t
	orictxt591	ino_t
	orictxt595	isatty
	orictxt601	isnan
	orictxt602	isnormal
	orictxt609	itoa
	orictxt615	ldexp
	orictxt618	link
	orictxt621	log
	orictxt622	log10
	orictxt623	log2
	orictxt626	lseek
	orictxt628	mblen
	orictxt629	mbstowcs
	orictxt630	mbtowc
	orictxt637	mkfifo
	orictxt639	mode_t
	orictxt640	modf
	orictxt642	nlink_t
	orictxt643	ntohl
	orictxt644	ntohs
	orictxt645	off_t
	orictxt650	passwd
	orictxt652	pclose
	orictxt654	pid_t
	orictxt655	pipe
	orictxt656	popen
	orictxt658	pow2
	orictxt662	psignal
	orictxt674	rand48
	orictxt687	run_child
	orictxt690	setenv
	orictxt691	setgid
	orictxt694	setpgid
	orictxt695	setsid
	orictxt696	setuid
	orictxt700	sigaction
	orictxt702	sigaddset
	orictxt703	sigemptyset
	orictxt704	sigfillset
	orictxt705	sigismember
	orictxt706	sigjmp_buf
	orictxt707	siglongjmp
	orictxt711	sigprocmask
	orictxt712	sigset_t
	orictxt713	sigsetjmp
	orictxt715	sin
	orictxt716	sinh
	orictxt719	sleep
	orictxt720	speed_t
	orictxt725	ssize_t
	orictxt726	stackavail
	orictxt727	stat
	orictxt728	stat
	orictxt729	statfs
	orictxt734	stkcoll
	orictxt738	strcoll
	orictxt747	strpbrk
	orictxt749	strsep
	orictxt763	strxfrm
	orictxt765	sync
	orictxt766	sys_errlist
	orictxt767	sys_nerr
	orictxt768	sysconf
	orictxt770	tan
	orictxt771	tanh
	orictxt772	tcdrain
	orictxt773	tcflag_t
	orictxt774	tcflow
	orictxt775	tcflush
	orictxt776	tcgetattr
	orictxt777	tcgetpgrp
	orictxt778	tcsendbreak
	orictxt779	tcsetattr
	orictxt780	tcsetpgrp
	orictxt782	tempnam
	orictxt783	terminate
	orictxt784	termios
	orictxt796	ttyname
	orictxt798	tzset
	orictxt799	uid_t
	orictxt800	umask
	orictxt801	uname
	orictxt802	unexpected
	orictxt805	unlink
	orictxt807	utime
	orictxt808	utsname
	orictxt822	waitpid
	orictxt824	wcstombs
	orictxt825	wctomb
	orictxt827	wild
	orictxt883	read
	orictxt884	write
